iter	Passed	Remaining
392	3297	3414
393	3304	3405
394	3311	3395
395	3318	3385
396	3327	3377
397	3334	3368
398	3340	3357
399	3347	3347
400	3353	3337
401	3360	3327
402	3367	3317
403	3374	3308
404	3382	3298
405	3389	3289
406	3396	3279
407	3402	3269
408	3410	3259
409	3416	3250
410	3424	3241
411	3431	3231
412	3438	3222
413	3445	3212
414	3452	3202
415	3459	3193
416	3466	3183
417	3473	3174
418	3479	3164
419	3486	3154
420	3493	3144
421	3501	3136
422	3508	3127
423	3516	3118
424	3523	3109
425	3530	3099
426	3537	3089
427	3543	3080
428	3551	3071
429	3559	3062
430	3566	3053
431	3577	3047
432	3584	3038
433	3591	3028
434	3598	3019
435	3605	3010
436	3612	3000
437	3619	2991
438	3627	2982
439	3634	2973
440	3641	2964
441	3648	2955
442	3656	2946
443	3663	2937
444	3670	2928
445	3677	2918
446	3684	2909
447	3691	2900
448	3698	2891
449	3706	2882
450	3713	2873
451	3719	2863
452	3726	2854
453	3734	2845
454	3741	2836
455	3748	2827
456	3755	2818
457	3763	2810
458	3769	2800
459	3776	2791
460	3783	2782
461	3789	2772
462	3796	2763
463	3802	2753
464	3809	2744
465	3813	2733
466	3820	2724
467	3828	2715
468	3835	2707
469	3842	2697
470	3849	2688
471	3856	2679
472	3862	2670
473	3870	2661
474	3877	2652
475	3884	2643
476	3891	2635
477	3897	2625
478	3904	2616
479	3911	2607
480	3918	2598
481	3925	2590
482	3933	2581
483	3939	2572
484	3946	2562
485	3953	2554
486	3966	2549
487	3973	2540
488	3980	2531
489	3988	2523
490	3995	2514
491	4002	2505
492	4010	2497
493	4018	2488
494	4024	2479
495	4031	2470
496	4038	2462
497	4045	2453
498	4051	2443
499	4058	2435
500	4065	2426
501	4072	2417
502	4080	2409
503	4087	2400
504	4094	2391
505	4102	2383
506	4109	2375
507	4117	2366
508	4123	2357
509	4130	2348
510	4138	2340
511	4145	2331
512	4152	2323
513	4161	2315
514	4171	2308
515	4181	2301
516	4190	2293
517	4199	2286
518	4209	2279
519	4216	2270
520	4223	2261
521	4227	2251
522	4234	2242
523	4242	2234
524	4248	2225
525	4254	2216
526	4262	2208
527	4269	2199
528	4276	2190
529	4283	2182
530	4291	2173
531	4297	2165
532	4304	2156
533	4311	2147
534	4319	2139
535	4327	2131
536	4333	2122
537	4340	2113
538	4350	2106
539	4358	2098
540	4366	2090
541	4373	2081
542	4380	2073
543	4387	2064
544	4394	2056
545	4402	2047
546	4409	2039
547	4417	2031
548	4423	2022
549	4430	2013
550	4438	2005
551	4445	1997
552	4452	1988
553	4459	1980
554	4466	1971
555	4474	1963
556	4481	1955
557	4488	1946
558	4495	1938
559	4504	1930
560	4511	1922
561	4519	1913
562	4525	1905
563	4532	1896
564	4539	1888
565	4546	1879
566	4554	1871
567	4560	1862
568	4567	1854
569	4575	1846
570	4582	1837
571	4588	1829
572	4596	1820
573	4603	1812
574	4610	1804
575	4617	1795
576	4625	1787
577	4631	1778
578	4638	1770
579	4646	1762
580	4654	1754
581	4661	1746
582	4668	1737
583	4676	1729
584	4684	1721
585	4690	1712
586	4697	1704
587	4705	1696
588	4712	1688
589	4718	1679
590	4725	1671
591	4734	1663
592	4744	1656
593	4750	1647
594	4757	1639
595	4764	1630
596	4771	1622
597	4778	1614
598	4781	1604
599	4788	1596
600	4795	1587
601	4803	1579
602	4810	1571
603	4818	1563
604	4826	1555
605	4832	1547
606	4839	1538
607	4847	1530
608	4854	1522
609	4861	1514
610	4869	1506
611	4878	1498
612	4886	1490
613	4893	1482
614	4900	1474
615	4907	1465
616	4915	1457
617	4922	1449
618	4930	1441
619	4936	1433
620	4942	1424
621	4949	1416
622	4957	1408
623	4964	1400
624	4970	1391
625	4977	1383
626	4985	1375
627	4993	1367
628	5001	1359
629	5009	1351
630	5015	1343
631	5021	1334
632	5029	1326
633	5035	1318
634	5042	1310
635	5049	1302
636	5056	1293
637	5063	1285
638	5069	1277
639	5075	1268
640	5082	1260
641	5088	1252
642	5095	1244
643	5103	1236
644	5110	1228
645	5118	1220
646	5126	1212
647	5137	1205
648	5144	1196
649	5150	1188
650	5156	1180
651	5163	1172
652	5171	1164
653	5180	1156
654	5189	1148
655	5195	1140
656	5202	1132
657	5209	1124
658	5215	1116
659	5223	1107
660	5230	1099
661	5237	1091
662	5245	1083
663	5253	1075
664	5260	1067
665	5268	1060
666	5275	1051
667	5281	1043
668	5287	1035
669	5294	1027
670	5302	1019
671	5309	1011
672	5314	1002
673	5321	994
674	5327	986
675	5333	978
676	5340	970
677	5348	962
678	5356	954
679	5363	946
680	5370	938
681	5377	930
682	5384	922
683	5391	914
684	5393	905
685	5400	897
686	5408	889
687	5415	881
688	5421	873
689	5429	865
690	5436	857
691	5442	849
692	5450	841
693	5456	833
694	5463	825
695	5469	817
696	5475	809
697	5483	801
698	5489	793
699	5496	785
700	5503	777
701	5509	769
702	5518	761
703	5527	753
704	5536	746
705	5543	738
706	5551	730
707	5557	722
708	5564	714
709	5571	706
710	5577	698
711	5584	690
712	5592	682
713	5598	674
714	5606	666
715	5612	658
716	5619	650
717	5626	642
718	5632	634
719	5639	626
720	5645	618
721	5652	610
722	5660	602
723	5668	595
724	5674	587
725	5681	579
726	5688	571
727	5696	563
728	5703	555
729	5711	547
730	5718	539
731	5725	531
732	5732	524
733	5740	516
734	5747	508
735	5755	500
736	5762	492
737	5768	484
738	5776	476
739	5784	468
740	5791	461
741	5797	453
742	5805	445
743	5811	437
744	5819	429
745	5826	421
746	5833	413
747	5840	406
748	5848	398
749	5856	390
750	5864	382
751	5871	374
752	5879	367
753	5887	359
754	5893	351
755	5901	343
756	5911	335
757	5920	328
758	5928	320
759	5935	312
760	5941	304
761	5949	296
762	5956	288
763	5964	281
764	5972	273
765	5979	265
766	5986	257
767	5993	249
768	5999	241
769	6006	234
770	6014	226
771	6021	218
772	6028	210
773	6035	202
774	6043	194
775	6052	187
776	6060	179
777	6066	171
778	6073	163
779	6080	155
780	6088	148
781	6094	140
782	6101	132
783	6108	124
784	6115	116
785	6123	109
786	6131	101
787	6138	93
788	6145	85
789	6152	77
790	6158	70
791	6165	62
792	6173	54
793	6180	46
794	6187	38
795	6194	31
796	6201	23
797	6208	15
798	6216	7
799	6223	0
