iter	Logloss
0	0.6882393769
1	0.6832831743
2	0.6785925946
3	0.673884261
4	0.6688549826
5	0.6640725924
6	0.6596364045
7	0.6551151742
8	0.6506677553
9	0.6466577609
10	0.6427418331
11	0.6387991763
12	0.6351788374
13	0.6313462356
14	0.6274163302
15	0.6239749043
16	0.6204412755
17	0.61749392
18	0.6137756891
19	0.6104522633
20	0.6071223637
21	0.6038611259
22	0.6005936104
23	0.5974056445
24	0.5942872722
25	0.5913960723
26	0.5885803512
27	0.5856344671
28	0.5829486149
29	0.5802569265
30	0.5777221792
31	0.5751825275
32	0.5728219849
33	0.5701762508
34	0.5677900092
35	0.5653021481
36	0.5630420969
37	0.560444426
38	0.5583415123
39	0.5563061813
40	0.5542585402
41	0.552115116
42	0.5498914065
43	0.5477674528
44	0.5457626763
45	0.5437397044
46	0.5417694059
47	0.5400810621
48	0.5379747642
49	0.536103633
50	0.5343389274
51	0.5327097798
52	0.5310888717
53	0.5293332393
54	0.5274494546
55	0.5257083884
56	0.5241837048
57	0.522606593
58	0.5209346299
59	0.5193808631
60	0.5178272435
61	0.5162599896
62	0.5148333942
63	0.5134753625
64	0.5120389583
65	0.5106143247
66	0.5093076912
67	0.5079366138
68	0.5066368956
69	0.5055770031
70	0.5044869485
71	0.5032923318
72	0.5021654941
73	0.5008160942
74	0.4997383006
75	0.4985454495
76	0.4974487249
77	0.496260533
78	0.4950451706
79	0.4939894959
80	0.4931550593
81	0.4922596117
82	0.4915435185
83	0.4905311007
84	0.4895939166
85	0.4886654624
86	0.4876479931
87	0.4867391565
88	0.4859223757
89	0.4850814652
90	0.4842613985
91	0.4833974373
92	0.482493456
93	0.4816107109
94	0.480827084
95	0.4799199639
96	0.4792476671
97	0.478670663
98	0.4777367159
99	0.4770430358
100	0.4762756425
101	0.4755949591
102	0.4748343829
103	0.4740292256
104	0.4733708083
105	0.4727665847
106	0.4719277341
107	0.4712753492
108	0.4707431224
109	0.4699698928
110	0.4694056892
111	0.4689367784
112	0.468416126
113	0.4679071952
114	0.4673614322
115	0.4668373467
116	0.4662021273
117	0.4657403279
118	0.4651295324
119	0.4646451727
120	0.464061989
121	0.4636600725
122	0.4631094051
123	0.4625180801
124	0.462081048
125	0.4616366101
126	0.4610747607
127	0.4605363543
128	0.4602315942
129	0.4596360024
130	0.4590869535
131	0.4585896951
132	0.4581559489
133	0.4577566807
134	0.4571787448
135	0.4567879122
136	0.4563011003
137	0.4558676484
138	0.4554169819
139	0.4549381642
140	0.4545929426
141	0.454212115
142	0.453904118
143	0.4534036718
144	0.4530482
145	0.4525166598
146	0.4521743318
147	0.4517608409
148	0.4514414655
149	0.4509942322
150	0.4504972681
151	0.4501826992
152	0.4498017735
153	0.4494028486
154	0.4490140759
155	0.4486918069
156	0.448270518
157	0.4480056307
158	0.4476501589
159	0.4472789439
160	0.4469445121
161	0.4465751118
162	0.4462776592
163	0.4460184119
164	0.4456726999
165	0.4453653895
166	0.445075882
167	0.4447630786
168	0.4444903933
169	0.4441933821
170	0.443895292
171	0.4434993098
172	0.4432140691
173	0.4429070039
174	0.4426210767
175	0.442329068
176	0.4421102331
177	0.4418137614
178	0.441452012
179	0.4411052701
180	0.4408665233
181	0.4407025197
182	0.4404110996
183	0.4402009455
184	0.4399728904
185	0.4397862775
186	0.4395497377
187	0.4393190342
188	0.4390996598
189	0.4389115756
190	0.4386327598
191	0.438346244
192	0.4380933726
193	0.4378310846
194	0.4376520736
195	0.4373811538
196	0.437082279
197	0.4368827184
198	0.4367487789
199	0.4365144952
200	0.4361987982
201	0.4360538238
202	0.4358480346
203	0.435736116
204	0.4354573492
205	0.4352234087
206	0.4350188947
207	0.4348043758
208	0.4344662656
209	0.4342046643
210	0.433958757
211	0.4336999022
212	0.4335324165
213	0.4333754753
214	0.4331763071
215	0.4330085272
216	0.4327825809
217	0.4326039132
218	0.4323039594
219	0.4321121478
220	0.431871145
221	0.4316067972
222	0.4314462268
223	0.4311731981
224	0.4309801114
225	0.4307177254
226	0.4306004119
227	0.4304803518
228	0.430316005
229	0.4301391519
230	0.4300416031
231	0.4298785805
232	0.4296318395
233	0.4294693073
234	0.4293071184
235	0.4291473817
236	0.4289500772
237	0.4288178543
238	0.4287037776
239	0.4284915147
240	0.4282630181
241	0.428060515
242	0.4278460941
243	0.4276505061
244	0.4275057279
245	0.4273393702
246	0.4271600649
247	0.4269558452
248	0.4268270553
249	0.4266525073
250	0.4265082685
251	0.4263688852
252	0.4261514726
253	0.426028519
254	0.4258147847
255	0.4256388144
256	0.4253980077
257	0.4252408213
258	0.4251016341
259	0.4249965326
260	0.424814677
261	0.4247329204
262	0.4245719576
263	0.4243650405
264	0.4242175648
265	0.424068814
266	0.4238825935
267	0.4237087811
268	0.4235345764
269	0.4233968115
270	0.4233199103
271	0.4231630672
272	0.4230457537
273	0.4229615939
274	0.4228169138
275	0.4226630133
276	0.4225379508
277	0.4223862083
278	0.4222218615
279	0.4220548662
280	0.4218780131
281	0.4217880172
282	0.4216553038
283	0.4214672196
284	0.4213163599
285	0.4211405858
286	0.4210364651
287	0.4208948747
288	0.420717286
289	0.4205763822
290	0.4204541152
291	0.4203035498
292	0.4201999686
293	0.4200711297
294	0.419995896
295	0.4198579839
296	0.4197515582
297	0.4196736761
298	0.4194848563
299	0.4194031978
300	0.419296723
301	0.4192214403
302	0.4190856862
303	0.4189304615
304	0.418773177
305	0.4186822002
306	0.418556353
307	0.4183897991
308	0.4182444324
309	0.4181655204
310	0.4180714047
311	0.417878318
312	0.4177128922
313	0.4176293701
314	0.417554872
315	0.4174349592
316	0.4173018534
317	0.4172132307
318	0.4170652155
319	0.4169572204
320	0.4168235261
321	0.4166820338
322	0.416538825
323	0.4164175389
324	0.4163160176
325	0.4162644231
326	0.4161622152
327	0.416083058
328	0.4159831061
329	0.4159136105
330	0.4158035065
331	0.4157053202
332	0.4155430822
333	0.4154268477
334	0.4153350371
335	0.4152087975
336	0.4150487175
337	0.4149045278
338	0.4147517063
339	0.4146484194
340	0.4144595995
341	0.4143641597
342	0.4141949574
343	0.4140663638
344	0.4139416936
345	0.4138551798
346	0.4137583667
347	0.4136841139
348	0.4136335984
349	0.4135392866
350	0.4134805317
351	0.4133790104
352	0.4132919081
353	0.413198479
354	0.4131204989
355	0.413037271
356	0.4129371719
357	0.4128340321
358	0.4127590437
359	0.4126845947
360	0.4125743435
361	0.4125452113
362	0.4125058779
363	0.4124277016
364	0.4122999907
365	0.41215021
366	0.412100234
367	0.4120160253
368	0.4119086186
369	0.4117976808
370	0.411746675
371	0.411666635
372	0.4115921369
373	0.4114927245
374	0.4114353429
375	0.4113445377
376	0.4112953464
377	0.4112228102
378	0.4111323483
379	0.4110159421
380	0.4109553971
381	0.4108813895
382	0.4107695935
383	0.4106935015
384	0.4106747176
385	0.4105571098
386	0.4104690756
387	0.4103740281
388	0.4102785883
389	0.4102306722
390	0.410114879
391	0.4100645597
392	0.409942587
393	0.4097459936
394	0.4097064396
395	0.4096314756
396	0.4095307145
397	0.4094003552
398	0.4093636702
399	0.4092409618
400	0.4091320593
401	0.4090531473
402	0.4089770554
403	0.4088723217
404	0.4087792359
405	0.4086591024
406	0.4085312689
407	0.4084076777
408	0.408317976
409	0.4081863661
410	0.4080680717
411	0.4079608122
412	0.4078867556
413	0.4077831008
414	0.4076847183
415	0.4075759139
416	0.4074990863
417	0.4074077416
418	0.407353131
419	0.4072445964
420	0.407130299
421	0.4070465317
422	0.4070019015
423	0.4069152651
424	0.4068133024
425	0.4066816925
426	0.4066165374
427	0.4065299745
428	0.4064109444
429	0.4063395607
430	0.4062375489
431	0.4061091514
432	0.4060128042
433	0.4059381591
434	0.4058412724
435	0.4057308741
436	0.4056590735
437	0.4055827609
438	0.4054781007
439	0.4053524987
440	0.4053006591
441	0.4051725068
442	0.4051076705
443	0.4050212057
444	0.4049311852
445	0.4048504341
446	0.4047554847
447	0.4046840764
448	0.4045742912
449	0.4044969731
450	0.4043762265
